listen_id,usr_ref_id,trk_ref_id,timestamp,track_id,artist_name,Genre,length_in_ms,internal_db_id,user_id,User Age Group,subscription_tier,sys_user_hash
55,144,146,2025-03-08 02:42:03,146,Artist_46,Electronic,121062,119870,144,45-54,Free,usr_2679
56,185,121,2025-04-26 16:11:03,121,Artist_21,Hip-Hop,298031,277804,185,25-34,Premium,usr_6476
57,12,146,2025-04-02 14:39:07,146,Artist_46,Electronic,121062,119870,12,35-44,Premium,usr_5232
58,74,133,2025-05-05 15:47:26,133,Artist_33,Rock,171934,389106,74,25-34,Free,usr_6909
59,16,100,2025-05-25 11:05:26,100,Artist_0,Pop,203042,645977,16,25-34,Free,usr_4228
60,200,125,2025-03-23 13:44:09,125,Artist_25,Rock,159954,455249,200,45-54,Free,usr_5484
61,102,142,2025-01-18 06:29:47,142,Artist_42,Electronic,207508,977699,102,18-24,Free,usr_7623
62,152,109,2025-06-01 21:11:12,109,Artist_9,Pop,164811,631089,152,18-24,Free,usr_8725
63,156,129,2025-01-19 04:29:50,129,Artist_29,Rock,275538,314532,156,18-24,Free,usr_9189
64,117,149,2025-01-23 16:11:09,149,Artist_49,Pop,272617,334677,117,25-34,Free,usr_7930
65,8,117,2025-04-30 07:38:32,117,Artist_17,Rock,231888,308124,8,35-44,Premium,usr_1755
66,122,116,2025-01-15 19:37:24,116,Artist_16,Classical,272424,827952,122,45-54,Free,usr_4391
67,92,125,2025-04-30 22:34:33,125,Artist_25,Rock,159954,455249,92,18-24,Free,usr_8610
68,164,107,2025-06-07 14:30:09,107,Artist_7,Hip-Hop,283551,464778,164,18-24,Free,usr_2539
69,90,146,2025-02-08 05:39:41,146,Artist_46,Electronic,121062,119870,90,35-44,Free,usr_5324
70,136,139,2025-02-05 01:15:37,139,Artist_39,Jazz,246020,585008,136,35-44,Free,usr_2786
71,186,148,2025-04-23 14:09:17,148,Artist_48,Hip-Hop,209780,348683,186,45-54,Premium,usr_7944
72,60,111,2025-04-09 09:29:59,111,Artist_11,Hip-Hop,271222,827627,60,25-34,Free,usr_1485
73,178,126,2025-01-17 10:53:42,126,Artist_26,Rock,298352,319930,178,18-24,Free,usr_7472
74,28,107,2025-04-12 01:50:02,107,Artist_7,Hip-Hop,283551,464778,28,25-34,Free,usr_1655
75,101,124,2025-06-09 21:30:10,124,Artist_24,Electronic,186234,818216,101,45-54,Free,usr_7366
76,41,145,2025-02-24 04:44:39,145,Artist_45,Rock,147192,844699,41,45-54,Premium,usr_7089
77,192,103,2025-05-30 06:57:44,103,Artist_3,Hip-Hop,157841,989465,192,55+,Free,usr_9920
78,155,132,2025-03-15 03:50:00,132,Artist_32,Jazz,179163,416837,155,35-44,Free,usr_8322
79,191,100,2025-06-04 04:38:29,100,Artist_0,Pop,203042,645977,191,25-34,Free,usr_6856
80,145,118,2025-02-28 13:20:51,118,Artist_18,Electronic,230448,537477,145,45-54,Premium,usr_8604
81,161,130,2025-05-31 13:08:38,130,Artist_30,Hip-Hop,288011,712380,161,35-44,Free,usr_5577
82,157,115,2025-03-14 15:05:33,115,Artist_15,Jazz,188450,331915,157,45-54,Premium,usr_5451
83,141,113,2025-04-13 09:46:29,113,Artist_13,Electronic,294358,254697,141,18-24,Free,usr_6350
84,46,147,2025-04-20 04:33:13,147,Artist_47,Pop,204076,303196,46,18-24,Premium,usr_2074
85,35,104,2025-04-01 04:00:22,104,Artist_4,Hip-Hop,190640,633636,35,35-44,Premium,usr_1732
86,134,140,2025-05-10 03:07:36,140,Artist_40,Pop,222795,792440,134,55+,Free,usr_3456
87,82,125,2025-03-09 17:07:23,125,Artist_25,Rock,159954,455249,82,18-24,Premium,usr_8395
88,115,127,2025-03-13 00:41:47,127,Artist_27,Rock,199459,905497,115,18-24,Free,usr_9661
89,197,101,2025-02-25 21:18:49,101,Artist_1,Pop,205999,897606,197,35-44,Free,usr_4601
90,47,149,2025-06-11 10:50:44,149,Artist_49,Pop,272617,334677,47,25-34,Premium,usr_5636
91,153,105,2025-06-07 13:00:24,105,Artist_5,Electronic,285983,138102,153,18-24,Free,usr_4524
92,194,108,2025-03-25 12:26:12,108,Artist_8,Pop,181476,189930,194,25-34,Premium,usr_9614
93,10,132,2025-05-20 16:18:49,132,Artist_32,Jazz,179163,416837,10,55+,Free,usr_7265
94,56,140,2025-05-22 13:20:33,140,Artist_40,Pop,222795,792440,56,18-24,Free,usr_1997
95,30,124,2025-04-11 05:27:57,124,Artist_24,Electronic,186234,818216,30,45-54,Premium,usr_8898
96,109,147,2025-02-02 02:32:29,147,Artist_47,Pop,204076,303196,109,35-44,Free,usr_7214
97,5,112,2025-01-18 21:54:17,112,Artist_12,Jazz,191180,279208,5,55+,Free,usr_3886
98,119,108,2025-06-04 06:45:02,108,Artist_8,Pop,181476,189930,119,18-24,Free,usr_3738
99,33,112,2025-03-10 02:13:10,112,Artist_12,Jazz,191180,279208,33,45-54,Free,usr_6170
100,118,130,2025-05-19 18:42:53,130,Artist_30,Hip-Hop,288011,712380,118,35-44,Free,usr_1145
101,65,140,2025-05-24 18:42:28,140,Artist_40,Pop,222795,792440,65,25-34,Free,usr_1471
102,146,110,2025-04-18 02:17:22,110,Artist_10,Rock,287280,727438,146,45-54,Premium,usr_6533
103,177,103,2025-03-02 09:06:40,103,Artist_3,Hip-Hop,157841,989465,177,35-44,Free,usr_5137
104,11,133,2025-06-13 23:14:42,133,Artist_33,Rock,171934,389106,11,45-54,Premium,usr_4261
105,85,137,2025-06-14 17:45:12,137,Artist_37,Hip-Hop,259407,257504,85,18-24,Free,usr_4591
106,26,145,2025-06-08 11:47:09,145,Artist_45,Rock,147192,844699,26,35-44,Premium,usr_7589
107,63,103,2025-05-21 14:04:42,103,Artist_3,Hip-Hop,157841,989465,63,55+,Free,usr_5972
108,86,137,2025-05-12 11:59:01,137,Artist_37,Hip-Hop,259407,257504,86,18-24,Free,usr_3170
109,59,118,2025-03-20 16:12:10,118,Artist_18,Electronic,230448,537477,59,45-54,Premium,usr_3043
110,27,105,2025-05-27 20:29:21,105,Artist_5,Electronic,285983,138102,27,35-44,Free,usr_6865
111,177,133,2025-01-14 03:07:49,133,Artist_33,Rock,171934,389106,177,35-44,Free,usr_5137
112,161,117,2025-04-30 21:17:48,117,Artist_17,Rock,231888,308124,161,35-44,Free,usr_5577
113,98,112,2025-06-08 15:01:08,112,Artist_12,Jazz,191180,279208,98,25-34,Free,usr_9482
114,105,140,2025-06-02 11:48:49,140,Artist_40,Pop,222795,792440,105,18-24,Premium,usr_8813
115,99,122,2025-05-31 05:32:59,122,Artist_22,Pop,251800,805703,99,25-34,Free,usr_9169
116,129,118,2025-06-09 21:34:11,118,Artist_18,Electronic,230448,537477,129,55+,Premium,usr_2911
117,149,144,2025-05-11 11:02:05,144,Artist_44,Jazz,180566,266981,149,25-34,Free,usr_3805
118,55,110,2025-01-25 16:22:09,110,Artist_10,Rock,287280,727438,55,35-44,Free,usr_8276
119,6,100,2025-03-26 02:09:45,100,Artist_0,Pop,203042,645977,6,25-34,Free,usr_7457
120,197,123,2025-04-18 20:11:22,123,Artist_23,Rock,239180,139081,197,35-44,Free,usr_4601
121,95,106,2025-05-07 20:21:12,106,Artist_6,Jazz,258429,174460,95,18-24,Free,usr_1028
122,133,124,2025-01-14 14:56:37,124,Artist_24,Electronic,186234,818216,133,45-54,Free,usr_2037
123,102,120,2025-05-01 14:24:52,120,Artist_20,Rock,292627,383821,102,18-24,Free,usr_7623
124,3,114,2025-06-09 18:21:03,114,Artist_14,Electronic,232856,313945,3,35-44,Premium,usr_1874
125,181,100,2025-02-22 06:43:41,100,Artist_0,Pop,203042,645977,181,18-24,Free,usr_7852
126,23,111,2025-02-12 01:44:47,111,Artist_11,Hip-Hop,271222,827627,23,45-54,Free,usr_7763
127,53,106,2025-01-18 20:40:27,106,Artist_6,Jazz,258429,174460,53,45-54,Free,usr_7712
128,165,114,2025-06-11 01:32:52,114,Artist_14,Electronic,232856,313945,165,35-44,Free,usr_1403
129,83,120,2025-02-19 05:30:11,120,Artist_20,Rock,292627,383821,83,55+,Premium,usr_6132
130,145,118,2025-04-07 16:42:39,118,Artist_18,Electronic,230448,537477,145,45-54,Premium,usr_8604
131,85,128,2025-01-25 09:06:51,128,Artist_28,Classical,267851,617313,85,18-24,Free,usr_4591
132,78,124,2025-02-13 14:03:12,124,Artist_24,Electronic,186234,818216,78,45-54,Free,usr_4849
133,110,132,2025-06-21 00:15:46,132,Artist_32,Jazz,179163,416837,110,35-44,Free,usr_3029
134,1,148,2025-06-29 02:23:55,148,Artist_48,Hip-Hop,209780,348683,1,45-54,Premium,usr_1392
135,51,131,2025-01-13 02:11:03,131,Artist_31,Pop,286342,619332,51,45-54,Free,usr_3428
136,173,148,2025-04-05 16:05:59,148,Artist_48,Hip-Hop,209780,348683,173,25-34,Free,usr_6438
137,4,134,2025-06-15 18:28:56,134,Artist_34,Electronic,283379,128295,4,55+,Premium,usr_1703
138,190,143,2025-04-30 04:52:42,143,Artist_43,Pop,238324,617923,190,35-44,Free,usr_5420
139,193,137,2025-05-06 19:35:11,137,Artist_37,Hip-Hop,259407,257504,193,45-54,Free,usr_8338
140,113,125,2025-05-12 04:35:05,125,Artist_25,Rock,159954,455249,113,55+,Free,usr_7684
141,32,110,2025-02-18 01:00:06,110,Artist_10,Rock,287280,727438,32,45-54,Premium,usr_1040
142,34,134,2025-03-31 10:52:46,134,Artist_34,Electronic,283379,128295,34,18-24,Free,usr_4366
143,92,107,2025-05-21 12:14:47,107,Artist_7,Hip-Hop,283551,464778,92,18-24,Free,usr_8610
144,95,145,2025-04-30 11:17:43,145,Artist_45,Rock,147192,844699,95,18-24,Free,usr_1028
145,72,113,2025-06-16 03:59:57,113,Artist_13,Electronic,294358,254697,72,55+,Free,usr_1558
146,39,109,2025-06-19 02:38:55,109,Artist_9,Pop,164811,631089,39,18-24,Premium,usr_8634
147,154,101,2025-06-28 18:15:30,101,Artist_1,Pop,205999,897606,154,18-24,Free,usr_1118
148,162,145,2025-02-26 13:17:40,145,Artist_45,Rock,147192,844699,162,18-24,Premium,usr_8989
149,182,108,2025-06-08 04:49:19,108,Artist_8,Pop,181476,189930,182,35-44,Free,usr_3772
150,118,102,2025-03-07 13:59:11,102,Artist_2,Electronic,137955,450605,118,35-44,Free,usr_1145
151,3,120,2025-02-06 12:25:34,120,Artist_20,Rock,292627,383821,3,35-44,Premium,usr_1874
152,123,125,2025-05-06 01:56:18,125,Artist_25,Rock,159954,455249,123,55+,Free,usr_6487
153,50,107,2025-05-10 20:00:14,107,Artist_7,Hip-Hop,283551,464778,50,45-54,Free,usr_6332
154,12,147,2025-06-03 14:01:28,147,Artist_47,Pop,204076,303196,12,35-44,Premium,usr_5232
155,193,101,2025-01-19 09:03:36,101,Artist_1,Pop,205999,897606,193,45-54,Free,usr_8338
156,54,105,2025-03-28 11:45:18,105,Artist_5,Electronic,285983,138102,54,55+,Free,usr_3069
157,133,127,2025-05-25 12:46:28,127,Artist_27,Rock,199459,905497,133,45-54,Free,usr_2037
158,57,128,2025-02-05 12:18:36,128,Artist_28,Classical,267851,617313,57,45-54,Free,usr_6839
159,145,125,2025-02-10 13:22:23,125,Artist_25,Rock,159954,455249,145,45-54,Premium,usr_8604
160,112,124,2025-06-13 23:05:32,124,Artist_24,Electronic,186234,818216,112,35-44,Free,usr_7097
161,47,111,2025-01-13 13:02:28,111,Artist_11,Hip-Hop,271222,827627,47,25-34,Premium,usr_5636
162,151,104,2025-04-12 08:28:29,104,Artist_4,Hip-Hop,190640,633636,151,18-24,Free,usr_8457
163,85,133,2025-06-18 10:46:01,133,Artist_33,Rock,171934,389106,85,18-24,Free,usr_4591
164,142,147,2025-04-14 02:43:51,147,Artist_47,Pop,204076,303196,142,55+,Free,usr_8138
165,66,136,2025-03-10 03:19:05,136,Artist_36,Electronic,125486,535564,66,45-54,Premium,usr_1811
166,75,114,2025-02-18 07:45:50,114,Artist_14,Electronic,232856,313945,75,55+,Free,usr_5856
167,179,143,2025-04-12 22:13:43,143,Artist_43,Pop,238324,617923,179,55+,Premium,usr_2245
168,103,135,2025-02-21 13:27:49,135,Artist_35,Rock,174098,113807,103,45-54,Free,usr_9841
169,166,114,2025-04-12 23:06:21,114,Artist_14,Electronic,232856,313945,166,25-34,Free,usr_7985
170,192,142,2025-03-28 22:36:57,142,Artist_42,Electronic,207508,977699,192,55+,Free,usr_9920
171,38,147,2025-06-21 04:30:55,147,Artist_47,Pop,204076,303196,38,55+,Free,usr_9661
172,50,122,2025-03-18 18:02:55,122,Artist_22,Pop,251800,805703,50,45-54,Free,usr_6332
173,98,105,2025-01-16 07:43:26,105,Artist_5,Electronic,285983,138102,98,25-34,Free,usr_9482
174,82,145,2025-02-15 20:56:59,145,Artist_45,Rock,147192,844699,82,18-24,Premium,usr_8395
175,30,149,2025-01-22 00:05:07,149,Artist_49,Pop,272617,334677,30,45-54,Premium,usr_8898
176,79,143,2025-06-15 20:58:20,143,Artist_43,Pop,238324,617923,79,45-54,Premium,usr_2751
177,91,142,2025-05-30 08:31:34,142,Artist_42,Electronic,207508,977699,91,35-44,Free,usr_8642
178,179,144,2025-03-12 23:34:01,144,Artist_44,Jazz,180566,266981,179,55+,Premium,usr_2245
179,191,120,2025-04-27 16:53:51,120,Artist_20,Rock,292627,383821,191,25-34,Free,usr_6856
180,52,122,2025-06-11 04:50:06,122,Artist_22,Pop,251800,805703,52,45-54,Premium,usr_3695
181,166,142,2025-06-03 16:03:06,142,Artist_42,Electronic,207508,977699,166,25-34,Free,usr_7985
182,79,115,2025-05-12 05:10:30,115,Artist_15,Jazz,188450,331915,79,45-54,Premium,usr_2751
183,30,146,2025-01-18 10:19:54,146,Artist_46,Electronic,121062,119870,30,45-54,Premium,usr_8898
184,106,114,2025-05-30 10:45:49,114,Artist_14,Electronic,232856,313945,106,55+,Free,usr_6758
185,51,124,2025-04-21 12:08:31,124,Artist_24,Electronic,186234,818216,51,45-54,Free,usr_3428
186,81,135,2025-02-13 18:14:39,135,Artist_35,Rock,174098,113807,81,55+,Free,usr_2941
187,133,110,2025-02-25 14:57:29,110,Artist_10,Rock,287280,727438,133,45-54,Free,usr_2037
188,29,114,2025-05-15 18:51:27,114,Artist_14,Electronic,232856,313945,29,45-54,Premium,usr_7717
189,132,103,2025-01-29 01:51:01,103,Artist_3,Hip-Hop,157841,989465,132,55+,Free,usr_3383
190,138,120,2025-04-19 23:11:42,120,Artist_20,Rock,292627,383821,138,25-34,Free,usr_5615
191,184,112,2025-04-20 06:21:14,112,Artist_12,Jazz,191180,279208,184,25-34,Free,usr_8467
192,145,121,2025-03-18 15:59:30,121,Artist_21,Hip-Hop,298031,277804,145,45-54,Premium,usr_8604
193,74,118,2025-04-26 15:14:59,118,Artist_18,Electronic,230448,537477,74,25-34,Free,usr_6909
194,17,133,2025-01-26 18:21:56,133,Artist_33,Rock,171934,389106,17,45-54,Free,usr_9933
195,84,113,2025-04-11 05:05:50,113,Artist_13,Electronic,294358,254697,84,55+,Premium,usr_7355
196,69,103,2025-01-30 19:18:10,103,Artist_3,Hip-Hop,157841,989465,69,45-54,Free,usr_7933
197,34,147,2025-06-09 02:54:37,147,Artist_47,Pop,204076,303196,34,18-24,Free,usr_4366
198,6,145,2025-03-04 23:33:16,145,Artist_45,Rock,147192,844699,6,25-34,Free,usr_7457
199,53,126,2025-05-02 02:55:50,126,Artist_26,Rock,298352,319930,53,45-54,Free,usr_7712
200,194,128,2025-03-11 05:19:34,128,Artist_28,Classical,267851,617313,194,25-34,Premium,usr_9614
201,126,146,2025-02-21 00:53:16,146,Artist_46,Electronic,121062,119870,126,45-54,Free,usr_3067
202,43,127,2025-03-08 02:05:53,127,Artist_27,Rock,199459,905497,43,45-54,Free,usr_7672
203,115,134,2025-05-20 12:59:26,134,Artist_34,Electronic,283379,128295,115,18-24,Free,usr_9661
204,111,107,2025-03-06 22:32:44,107,Artist_7,Hip-Hop,283551,464778,111,18-24,Free,usr_6186
205,151,115,2025-02-17 14:33:01,115,Artist_15,Jazz,188450,331915,151,18-24,Free,usr_8457
206,183,141,2025-05-07 00:00:08,141,Artist_41,Electronic,262202,494540,183,18-24,Free,usr_3839
207,80,135,2025-03-07 23:50:08,135,Artist_35,Rock,174098,113807,80,45-54,Free,usr_8529
208,95,129,2025-01-22 18:46:49,129,Artist_29,Rock,275538,314532,95,18-24,Free,usr_1028
209,118,117,2025-01-05 13:09:28,117,Artist_17,Rock,231888,308124,118,35-44,Free,usr_1145
210,144,101,2025-02-18 16:13:43,101,Artist_1,Pop,205999,897606,144,45-54,Free,usr_2679
211,8,148,2025-01-15 02:16:09,148,Artist_48,Hip-Hop,209780,348683,8,35-44,Premium,usr_1755
212,132,112,2025-06-16 09:24:30,112,Artist_12,Jazz,191180,279208,132,55+,Free,usr_3383
213,104,103,2025-02-04 10:54:19,103,Artist_3,Hip-Hop,157841,989465,104,25-34,Free,usr_6320
214,132,125,2025-02-18 13:06:16,125,Artist_25,Rock,159954,455249,132,55+,Free,usr_3383
215,184,124,2025-01-19 15:14:46,124,Artist_24,Electronic,186234,818216,184,25-34,Free,usr_8467
216,25,129,2025-04-01 02:10:48,129,Artist_29,Rock,275538,314532,25,18-24,Free,usr_2036
217,195,110,2025-01-03 19:10:53,110,Artist_10,Rock,287280,727438,195,45-54,Premium,usr_6709
218,96,106,2025-02-08 15:20:50,106,Artist_6,Jazz,258429,174460,96,35-44,Premium,usr_3625
219,195,130,2025-02-18 23:16:29,130,Artist_30,Hip-Hop,288011,712380,195,45-54,Premium,usr_6709
220,155,143,2025-05-19 11:01:51,143,Artist_43,Pop,238324,617923,155,35-44,Free,usr_8322
221,93,109,2025-03-26 13:22:47,109,Artist_9,Pop,164811,631089,93,35-44,Free,usr_6302
222,160,138,2025-05-19 04:18:57,138,Artist_38,Electronic,206900,338067,160,35-44,Free,usr_3436
223,178,112,2025-03-18 10:33:26,112,Artist_12,Jazz,191180,279208,178,18-24,Free,usr_7472
224,61,130,2025-01-01 17:52:47,130,Artist_30,Hip-Hop,288011,712380,61,25-34,Free,usr_6632
225,122,106,2025-06-24 10:17:30,106,Artist_6,Jazz,258429,174460,122,45-54,Free,usr_4391
226,51,148,2025-06-16 05:47:17,148,Artist_48,Hip-Hop,209780,348683,51,45-54,Free,usr_3428
227,147,141,2025-02-15 18:16:33,141,Artist_41,Electronic,262202,494540,147,45-54,Free,usr_8776
228,21,141,2025-01-01 03:07:25,141,Artist_41,Electronic,262202,494540,21,25-34,Free,usr_5554
229,5,135,2025-03-02 18:55:10,135,Artist_35,Rock,174098,113807,5,55+,Free,usr_3886
230,92,119,2025-01-09 06:59:16,119,Artist_19,Hip-Hop,134397,625830,92,18-24,Free,usr_8610
231,170,103,2025-05-01 16:56:59,103,Artist_3,Hip-Hop,157841,989465,170,45-54,Free,usr_6007
232,61,106,2025-06-19 10:49:57,106,Artist_6,Jazz,258429,174460,61,25-34,Free,usr_6632
233,22,100,2025-05-15 22:05:19,100,Artist_0,Pop,203042,645977,22,55+,Free,usr_9024
234,149,143,2025-06-28 18:18:34,143,Artist_43,Pop,238324,617923,149,25-34,Free,usr_3805
235,70,144,2025-02-06 00:16:10,144,Artist_44,Jazz,180566,266981,70,45-54,Free,usr_8092
236,1,141,2025-01-19 16:53:00,141,Artist_41,Electronic,262202,494540,1,45-54,Premium,usr_1392
237,133,146,2025-06-06 08:47:35,146,Artist_46,Electronic,121062,119870,133,45-54,Free,usr_2037
238,12,112,2025-03-15 04:05:49,112,Artist_12,Jazz,191180,279208,12,35-44,Premium,usr_5232
239,90,121,2025-06-25 13:59:55,121,Artist_21,Hip-Hop,298031,277804,90,35-44,Free,usr_5324
240,46,120,2025-01-01 12:18:35,120,Artist_20,Rock,292627,383821,46,18-24,Premium,usr_2074
241,34,121,2025-03-23 15:45:00,121,Artist_21,Hip-Hop,298031,277804,34,18-24,Free,usr_4366
242,177,127,2025-06-01 09:44:39,127,Artist_27,Rock,199459,905497,177,35-44,Free,usr_5137
243,78,108,2025-02-22 12:39:41,108,Artist_8,Pop,181476,189930,78,45-54,Free,usr_4849
244,45,125,2025-06-20 18:40:07,125,Artist_25,Rock,159954,455249,45,25-34,Free,usr_2639
245,155,108,2025-02-17 15:19:51,108,Artist_8,Pop,181476,189930,155,35-44,Free,usr_8322
246,73,114,2025-05-03 08:51:22,114,Artist_14,Electronic,232856,313945,73,55+,Premium,usr_8950
247,26,109,2025-06-15 19:45:24,109,Artist_9,Pop,164811,631089,26,35-44,Premium,usr_7589
248,47,123,2025-01-06 13:33:16,123,Artist_23,Rock,239180,139081,47,25-34,Premium,usr_5636
249,121,141,2025-03-29 18:17:25,141,Artist_41,Electronic,262202,494540,121,25-34,Free,usr_9472
250,56,107,2025-02-12 14:10:39,107,Artist_7,Hip-Hop,283551,464778,56,18-24,Free,usr_1997
251,94,123,2025-01-01 16:14:22,123,Artist_23,Rock,239180,139081,94,35-44,Free,usr_1120
252,107,115,2025-05-31 21:05:44,115,Artist_15,Jazz,188450,331915,107,35-44,Premium,usr_7405
253,63,148,2025-03-01 03:40:50,148,Artist_48,Hip-Hop,209780,348683,63,55+,Free,usr_5972
254,48,125,2025-05-17 05:15:41,125,Artist_25,Rock,159954,455249,48,55+,Free,usr_8251
255,61,126,2025-03-22 19:37:58,126,Artist_26,Rock,298352,319930,61,25-34,Free,usr_6632
256,81,136,2025-03-17 04:40:54,136,Artist_36,Electronic,125486,535564,81,55+,Free,usr_2941
257,26,103,2025-06-07 23:16:31,103,Artist_3,Hip-Hop,157841,989465,26,35-44,Premium,usr_7589
258,36,149,2025-04-07 08:53:08,149,Artist_49,Pop,272617,334677,36,55+,Premium,usr_9924
259,1,123,2025-04-02 12:58:47,123,Artist_23,Rock,239180,139081,1,45-54,Premium,usr_1392
